,Type,Rooms,Bathroom,CarSpots,Landsize,BuildingArea,YearBuilt,Price,SellerG,DateSold,Suburb,DistanceFromCenter,Lattitude,Longtitude,Regionname
135 Manningham Rd,house,4,2.0,1.0,1124.0,225.0,1960.0,1085000.0,Barry,2016-10-12,Bulleen,11.8,-37.7679,145.0958,Eastern Metropolitan
135 Neville St,house,4,2.0,2.0,249.0,,1900.0,,,,Middle Park,4.1,-37.8515,144.9644,Southern Metropolitan
135 Suffolk St,house,3,1.0,1.0,405.0,,,709000.0,Jas,2016-05-22,West Footscray,8.2,-37.79,144.86700000000005,Western Metropolitan
135 Union St,townhouse,3,2.0,2.0,604.0,,1950.0,,,,Brighton East,10.3,-37.90975,145.02185,Southern Metropolitan
135 Victoria St,house,4,1.0,1.0,318.0,100.0,1908.0,1500000.0,Nelson,2017-06-17,Brunswick,5.2,-37.76792,144.97141000000005,Northern Metropolitan
135 Williams Rd,house,4,2.0,2.0,291.0,263.5,1890.0,2300000.0,RT,2017-06-17,Prahran,4.6,-37.84961,145.00248,Southern Metropolitan
135 Wilson Bvd,house,3,2.0,2.0,544.0,,,,,,Reservoir,11.2,-37.6976,144.9946,Northern Metropolitan
135B McDonald St,townhouse,4,,,,,,850000.0,Hodges,2017-07-22,Mordialloc,21.5,,,South-Eastern Metropolitan
136 Clark St,house,3,1.0,2.0,293.0,151.0,1890.0,1725000.0,Marshall,2017-09-23,Port Melbourne,3.5,-37.83452,144.93586000000005,Southern Metropolitan
136 Faraday St,house,4,2.0,1.0,635.0,,,1600000.0,hockingstuart,2016-05-14,Carlton,1.8,-37.7988,144.97,Northern Metropolitan
136 Gordon St,house,3,1.0,2.0,537.0,,,1194500.0,hockingstuart,2016-07-30,Coburg,7.8,-37.7443,144.9494,Northern Metropolitan
136 Hope St,house,2,1.0,1.0,385.0,,1925.0,1260000.0,Jellis,2017-11-02,Brunswick,5.2,-37.7631,144.9534,Northern Metropolitan
136 Hyde St,house,4,2.0,2.0,482.0,,,1150000.0,hockingstuart,2016-09-17,Yarraville,7.0,-37.815,144.8968,Western Metropolitan
136 Kilby Rd,house,3,2.0,2.0,422.0,120.0,1950.0,1402000.0,Nelson,2017-04-22,Kew East,7.5,-37.7927,145.056,Southern Metropolitan
136 Kingston Bvd,house,3,2.0,2.0,600.0,151.0,2000.0,615000.0,Barry,2017-10-21,Hoppers Crossing,18.4,-37.85701,144.70883,Western Metropolitan
136 Miller St,house,2,1.0,2.0,362.0,,1930.0,1677000.0,Nelson,2017-10-21,Fitzroy North,3.6,-37.77705,144.9846,Northern Metropolitan
136 Page St,house,5,2.0,1.0,553.0,308.0,1920.0,6400000.0,Marshall,2017-09-09,Middle Park,3.0,-37.84908,144.95753,Southern Metropolitan
136 Rathmines Rd,house,4,1.0,0.0,1569.0,160.0,1950.0,,,,Hawthorn East,6.2,-37.8208,145.0527,Southern Metropolitan
136 Sycamore St,house,2,2.0,2.0,464.0,272.0,2016.0,1262000.0,hockingstuart,2016-04-16,Caulfield South,9.3,-37.8901,145.0224,Southern Metropolitan
136 The Parade,house,2,1.0,0.0,341.0,,,1050000.0,Brad,2017-05-20,Ascot Vale,5.9,-37.7721,144.9113,Western Metropolitan
136 Thomas St,house,1,2.0,0.0,994.0,,,2450000.0,Buxton,2016-11-27,Hampton,13.7,-37.94,145.0151,Southern Metropolitan
136 Wattletree St,house,4,2.0,2.0,,196.0,2014.0,630000.0,RW,2017-04-11,Craigieburn,20.6,-37.5765,144.903,Northern Metropolitan
1368 Sydney Rd,house,3,1.0,2.0,,,,750000.0,Brad,2017-09-16,Fawkner,13.1,-37.69342,144.95918,Northern Metropolitan
136A Fulham Rd,house,3,2.0,2.0,411.0,,,1492000.0,Jellis,2017-04-03,Alphington,6.4,-37.7713,145.0279,Northern Metropolitan
136B Tyler St,house,3,1.0,4.0,,,,,,,Preston,8.4,-37.73188,145.0227,Northern Metropolitan
137 Bellbridge Dr,house,3,2.0,2.0,,,,505000.0,Barry,2017-09-30,Hoppers Crossing,18.4,-37.86682,144.71048000000005,Western Metropolitan
137 Doncaster Rd,house,3,1.0,1.0,912.0,,,1900000.0,Noel,2017-08-19,Balwyn North,9.7,-37.79351,145.07655,Southern Metropolitan
137 East Rd,house,3,1.0,1.0,576.0,105.0,1983.0,512000.0,hockingstuart,2017-08-26,Seaford,35.4,-38.10505,145.15328,South-Eastern Metropolitan
137 Glenroy Rd,house,2,1.0,1.0,705.0,115.0,1950.0,730000.0,Barry,2016-10-12,Glenroy,13.0,-37.706,144.9245,Northern Metropolitan
137 Gold St,house,2,1.0,0.0,193.0,,,1000000.0,Nelson,2017-05-20,Clifton Hill,3.4,-37.7936,144.9899,Northern Metropolitan
137 Hawdon St,house,5,3.0,0.0,1222.0,316.0,1905.0,,,,Heidelberg,10.6,-37.7523,145.0645,Eastern Metropolitan
137 Ingles St,townhouse,3,2.0,2.0,0.0,134.0,2012.0,950000.0,Frank,2016-11-27,Port Melbourne,3.8,-37.8317,144.9446,Southern Metropolitan
137 Mahoneys Rd,house,4,2.0,2.0,586.0,137.0,1970.0,1088000.0,Buxton,2017-10-14,Forest Hill,15.4,-37.84006,145.16568,Eastern Metropolitan
137 Mansfield St,house,3,,,,,,2040000.0,Barry,2016-05-14,Thornbury,6.5,,,Northern Metropolitan
137 Viewgrand Dr,house,3,2.0,2.0,,193.0,2010.0,760000.0,LJ,2017-07-10,Berwick,35.2,-38.0714,145.34399,Eastern Victoria
137 Watsons Rd,house,4,2.0,2.0,651.0,,,,,,Glen Waverley,16.7,-37.90334,145.16756999999996,Eastern Metropolitan
137 Yarrbat Av,house,4,,,,,,4260000.0,Marshall,2017-04-03,Balwyn,9.7,,,Southern Metropolitan
137A Ballarat Rd,house,3,1.0,1.0,224.0,,,,,,Maidstone,9.2,-37.7851,144.874,Western Metropolitan
137A Bradshaw St,townhouse,4,4.0,2.0,465.0,99.0,1970.0,1731000.0,Barry,2017-11-25,Essendon,7.5,-37.7418,144.8949,Western Metropolitan
137b Marriage Rd,house,4,,,,,,1625000.0,Hodges,2017-07-15,Brighton East,10.3,,,Southern Metropolitan
138 Bay St,house,3,2.0,3.0,503.0,,,1900000.0,hockingstuart,2017-05-20,Brighton,11.2,-37.9049,144.9969,Southern Metropolitan
138 Bellbridge Dr,house,3,2.0,2.0,530.0,169.0,1999.0,520000.0,Barry,2017-05-27,Hoppers Crossing,18.4,-37.86713,144.71086,Western Metropolitan
138 Cecil St,house,3,1.0,,155.0,,,1210000.0,Nelson,2017-09-23,Fitzroy,2.1,-37.79451,144.98208,Northern Metropolitan
138 Cuthbert St,house,2,1.0,1.0,803.0,103.0,1950.0,770000.0,Stockdale,2017-07-10,Broadmeadows,14.0,-37.68333,144.92196,Northern Metropolitan
138 Devonshire Rd,house,4,2.0,0.0,567.0,95.0,1950.0,726000.0,YPA,2017-06-05,Sunshine,12.6,-37.7866,144.8458,Western Metropolitan
138 Edgevale Rd,house,2,1.0,1.0,268.0,131.0,1920.0,,,,Kew,5.6,-37.8103,145.0436,Southern Metropolitan
138 Elder St,house,4,2.0,5.0,,,,,,,Greensborough,16.1,-37.71619000000001,145.0976,Northern Metropolitan
138 Farrell St,house,3,2.0,1.0,162.0,,,,,,Port Melbourne,3.8,-37.8339,144.9389,Southern Metropolitan
138 Howard Rd,house,3,2.0,2.0,533.0,122.0,1980.0,816000.0,Buxton,2017-03-06,Dingley Village,22.2,-37.986,145.12035,South-Eastern Metropolitan
138 Napier St,house,3,2.0,2.0,156.0,,2000.0,,,,Fitzroy,2.1,-37.80401,144.97998,Northern Metropolitan
138 Oleander Dr,house,3,1.0,1.0,,115.0,1970.0,590000.0,Barry,2017-11-11,St Albans,14.0,-37.7516,144.8098,Western Metropolitan
138 Oriel Rd,house,5,2.0,2.0,677.0,222.0,1960.0,,,,Bellfield,8.8,-37.75105,145.03999,Eastern Metropolitan
138 Outhwaite Rd,house,3,1.0,2.0,605.0,,,690500.0,Ray,2016-09-17,Heidelberg West,9.4,-37.7386,145.0447,Eastern Metropolitan
138 Raleigh St,house,2,1.0,2.0,431.0,,,1143000.0,Ray,2016-08-22,Thornbury,6.5,-37.7598,145.0088,Northern Metropolitan
138 Rowans Rd,house,3,2.0,2.0,340.0,,,,,,Moorabbin,14.3,-37.93968,145.05458000000004,Southern Metropolitan
138 Victory Rd,house,3,2.0,5.0,612.0,174.0,1950.0,1042000.0,Nelson,2016-07-16,Airport West,13.5,-37.7173,144.8796,Western Metropolitan
138 Walsh Rd,house,3,2.0,4.0,,,,700000.0,Raine,2017-11-11,Bullengarook,45.9,-37.4893,144.5206,Northern Victoria
138 Weatherall Rd,house,4,2.0,2.0,,167.0,1950.0,1715000.0,hockingstuart,2017-09-12,Cheltenham,17.9,-37.97191,145.04873,Southern Metropolitan
138/56 Nicholson St,flat,3,2.0,2.0,4290.0,27.0,,1090000.0,Jellis,2017-03-18,Abbotsford,2.5,-37.8078,144.9965,Northern Metropolitan
138a Lebanon St,house,2,2.0,1.0,378.0,106.0,2000.0,630000.0,Barry,2016-05-22,Strathmore,9.7,-37.7245,144.9097,Western Metropolitan
139 Anderson Rd,house,3,2.0,4.0,491.0,,,710000.0,Stockdale,2017-05-27,Fawkner,13.1,-37.69544000000001,144.964,Northern Metropolitan
139 Blackshaws Rd,house,4,2.0,4.0,540.0,113.0,1970.0,956000.0,Sweeney,2017-04-22,Newport,8.4,-37.8339,144.8716,Western Metropolitan
139 Cecil St,house,4,1.0,3.0,765.0,257.0,1880.0,2255000.0,Raine,2016-11-27,Williamstown,8.0,-37.8621,144.8999,Western Metropolitan
139 Christmas St,house,3,2.0,1.0,170.0,,,750000.0,Barry,2016-06-18,Fairfield,5.8,-37.7674,145.0209,Northern Metropolitan
139 Cole St,house,5,5.0,2.0,830.0,,,5500000.0,Marshall,2017-03-09,Brighton,10.5,-37.89544,145.00279,Southern Metropolitan
139 Cruikshank St,townhouse,3,1.0,2.0,188.0,,,1565000.0,Cayzer,2016-04-16,Port Melbourne,3.8,-37.8371,144.9478,Southern Metropolitan
139 David Dr,flat,2,2.0,2.0,,92.0,2009.0,385000.0,Bells,2017-10-14,Sunshine West,10.5,-37.78977,144.7886,Western Metropolitan
139 Donald St,house,3,1.0,3.0,464.0,,,,,,Brunswick East,4.5,-37.7589,144.9768,Northern Metropolitan
139 Eglinton St,house,2,1.0,2.0,239.0,,,912500.0,Domain,2017-03-06,Kew,5.4,-37.8008,145.04336,Southern Metropolitan
139 Ellesmere Pde,house,4,1.0,3.0,987.0,178.0,1960.0,,,,Rosanna,11.4,-37.7317,145.0669,Eastern Metropolitan
139 John St,house,3,2.0,2.0,780.0,180.0,1970.0,765500.0,Barry,2016-06-18,Glenroy,13.0,-37.6955,144.9389,Northern Metropolitan
139 Linacre Rd,house,5,4.0,2.0,661.0,,1960.0,2520000.0,Buxton,2016-06-08,Hampton,13.7,-37.9438,145.0184,Southern Metropolitan
139 Morell St,house,5,2.0,4.0,653.0,,,861960.0,Eview,2017-11-18,Glenroy,11.2,-37.6983,144.9384,Northern Metropolitan
139 Neale Rd,house,3,2.0,4.0,519.0,,,,,,Deer Park,14.8,-37.75091,144.76054,Western Metropolitan
139 Park Rd,house,3,1.0,2.0,566.0,,,1015000.0,Buxton,2017-09-23,Cheltenham,17.9,-37.96488,145.05276,Southern Metropolitan
139 Power Av,house,3,1.0,1.0,332.0,86.0,1950.0,882000.0,Buxton,2017-07-10,Chadstone,11.7,-37.8794,145.10616000000005,Southern Metropolitan
139 Separation St,house,3,2.0,3.0,,145.0,2006.0,1155000.0,McGrath,2017-09-23,Northcote,5.3,-37.77001,145.00558999999996,Northern Metropolitan
139 Thomas St,house,4,3.0,2.0,598.0,212.0,1948.0,1650000.0,hockingstuart,2016-08-13,Brighton East,10.7,-37.9075,145.0248,Southern Metropolitan
139 Victoria St,house,4,2.0,1.0,302.0,,1928.0,1340000.0,Nelson,2017-06-24,Flemington,3.4,-37.7845,144.93582,Northern Metropolitan
139 Yallambie Rd,house,4,,,,,,,,,MacLeod,12.7,,,Northern Metropolitan
13A Garnet St,house,4,3.0,1.0,,171.0,2014.0,,,,Essendon West,7.5,-37.7515,144.8863,Western Metropolitan
13A Garth Pl,house,3,2.0,1.0,209.0,98.0,2014.0,480200.0,RW,2017-11-25,Epping,19.6,-37.6346,145.0386,Northern Metropolitan
13A Highett Rd,house,3,2.0,2.0,835.0,,,,,,Hampton,13.8,-37.94504000000001,145.01256999999995,Southern Metropolitan
13A Keith Av,house,3,2.0,1.0,,,,453000.0,YPA,2017-09-12,Sunbury,31.7,-37.57886,144.69987,Western Metropolitan
13A Queens Pde,townhouse,3,1.0,1.0,164.0,,2003.0,577000.0,Brad,2017-05-27,Fawkner,13.1,-37.71976,144.97121,Northern Metropolitan
13A Rockbank Rd,townhouse,3,,,,,,605000.0,Bells,2017-09-16,Ardeer,12.8,-37.77798,144.80376,Western Metropolitan
13B Elm Gr,townhouse,3,2.0,2.0,298.0,124.0,1995.0,1000000.0,Obrien,2017-01-07,Parkdale,21.5,-37.99464,145.08099,South-Eastern Metropolitan
13B Pleasant St,house,3,,,,,,685000.0,LJ,2017-06-24,Kilsyth,26.0,-37.80622,145.31331,Eastern Metropolitan
13B Thornton St,townhouse,3,1.0,2.0,292.0,94.0,1995.0,,,,Bentleigh East,13.8,-37.93013,145.07957,Southern Metropolitan
13B Vernier St,house,2,,,,,,680000.0,Sweeney,2017-03-18,Spotswood,7.7,,,Western Metropolitan
13a Anselm Gr,flat,2,,,,,,,,,Glenroy,13.0,,,Northern Metropolitan
13a Fulham Rd,house,3,,,,,,1310000.0,Jellis,2016-07-26,Alphington,6.4,,,Northern Metropolitan
13a Hammond St,house,3,,,,,,,,,Thornbury,6.5,,,Northern Metropolitan
13a Hilda St,flat,3,2.0,2.0,,108.0,1990.0,817500.0,Buxton,2017-10-21,Cheltenham,17.9,-37.97349000000001,145.07647,Southern Metropolitan
13a James Av,house,3,,,,,,,,,Kew,5.6,,,Southern Metropolitan
13a Rosina St,townhouse,4,,,,,,1533000.0,hockingstuart,2016-07-26,Bentleigh,13.0,,,Southern Metropolitan
13a Washington St,house,3,,,,,,1060000.0,Barry,2016-08-10,Essendon,8.0,,,Western Metropolitan
13a hammond St,house,3,,,,,,1470000.0,McGrath,2016-11-27,Thornbury,6.5,,,Northern Metropolitan
13b Hammond St,house,3,,,,,,1470000.0,McGrath,2016-03-12,Thornbury,6.5,,,Northern Metropolitan
13b Kingfisher Ct,flat,3,2.0,4.0,287.0,137.0,2013.0,394000.0,hockingstuart,2017-07-29,Werribee,14.7,-37.87895,144.6707,Western Metropolitan
13b Outlook Dr,house,3,2.0,2.0,0.0,163.0,2001.0,878000.0,Barry,2016-06-27,Doncaster,13.9,-37.7901,145.1341,Eastern Metropolitan
13c Thomson St,flat,2,,,,,,537000.0,Jas,2017-09-12,Sunshine,10.5,,,Western Metropolitan
14 Aberdeen Rd,house,2,1.0,1.0,0.0,135.0,2005.0,1106000.0,Biggin,2016-10-12,Prahran,4.5,-37.8526,145.0033,Southern Metropolitan
14 Adamson St,house,3,1.0,1.0,827.0,109.0,1952.0,1400000.0,Miles,2016-11-27,Heidelberg,10.6,-37.74800000000001,145.0625,Eastern Metropolitan
14 Adler Gr,house,3,1.0,2.0,494.0,103.0,1950.0,,,,Coburg North,9.2,-37.7195,144.9534,Northern Metropolitan
14 Aldershot Dr,house,4,1.0,0.0,659.0,168.0,1983.0,700000.0,YPA,2017-10-14,Keilor Downs,15.5,-37.71988,144.81086000000005,Western Metropolitan
14 Alfrick Rd,house,3,1.0,1.0,420.0,,,567000.0,hockingstuart,2017-06-17,Croydon,23.0,-37.80106,145.28741000000005,Eastern Metropolitan
14 Alice St,house,3,1.0,3.0,414.0,153.1,1930.0,990000.0,Barry,2017-04-29,Coburg,7.8,-37.7432,144.9573,Northern Metropolitan
14 Altona St,townhouse,2,1.0,0.0,132.0,79.0,1887.0,812000.0,Rendina,2016-04-16,Kensington,4.2,-37.7989,144.9275,Northern Metropolitan
14 Amelia Av,house,6,3.0,2.0,423.0,,1995.0,1150000.0,Nelson,2017-10-14,Essendon,7.5,-37.74559,144.92351000000005,Western Metropolitan
14 Anama St,house,3,1.0,1.0,,,,1002000.0,Morrison,2018-06-01,Greensborough,16.1,-37.70127,145.09632,Northern Metropolitan
14 Andrews St,house,4,2.0,2.0,,199.0,2016.0,1200000.0,RT,2017-11-11,Spotswood,6.2,-37.8256,144.8746,Western Metropolitan
14 Arthur St,house,3,1.0,0.0,513.0,,,1365000.0,McGrath,2016-03-09,Caulfield North,8.1,-37.8678,145.02700000000004,Southern Metropolitan
14 Ashley St,house,4,1.0,2.0,461.0,,,,,,West Footscray,8.2,-37.7971,144.8627,Western Metropolitan
14 Ashwood Av,house,4,2.0,2.0,613.0,187.0,1960.0,1550000.0,Charlton,2017-09-09,Highett,16.0,-37.94957,145.0246,Southern Metropolitan
14 Ashwood Dr,house,3,1.0,1.0,760.0,120.0,1960.0,1305000.0,Jellis,2017-02-25,Ashwood,12.2,-37.858,145.1038,Southern Metropolitan
14 Atkins St,house,4,3.0,2.0,481.0,,,2375000.0,Jellis,2017-09-16,Kew,5.4,-37.81027,145.04476,Southern Metropolitan
14 Augusta Cr,house,3,,,,,,,,,Sunshine North,13.3,,,Western Metropolitan
14 Avoca St,house,3,2.0,1.0,650.0,,,1155000.0,Buxton,2017-06-17,Highett,16.0,-37.95378,145.03267,Southern Metropolitan
14 Avon St,house,3,1.0,1.0,603.0,112.0,1960.0,987000.0,Buxton,2016-10-09,Moorabbin,14.6,-37.9404,145.0464,Southern Metropolitan
14 Aylmer St,house,4,1.0,1.0,716.0,125.0,1945.0,,,,Balwyn North,9.2,-37.7942,145.0686,Southern Metropolitan
14 Baird St,house,4,1.0,3.0,664.0,,,655000.0,Brad,2016-11-27,Fawkner,12.4,-37.7063,144.9712,Northern Metropolitan
14 Baker St,house,4,1.0,5.0,650.0,,,700000.0,Douglas,2016-07-30,Sunshine,12.6,-37.7867,144.8437,Western Metropolitan
14 Balcombe Pl,house,3,1.0,1.0,533.0,,,880000.0,Buxton,2017-11-11,Dingley Village,22.2,-37.986,145.1213,South-Eastern Metropolitan
14 Baradine Tce,house,5,,,,,,1500000.0,Jellis,2017-11-25,Donvale,16.1,,,Eastern Metropolitan
14 Barbara St,house,4,2.0,2.0,1953.0,,1930.0,,,,Moorabbin,14.6,-37.9375,145.0579,Southern Metropolitan
14 Bardia St,house,7,3.0,,,,,1755000.0,Philip,2017-03-09,Ringwood,19.9,-37.81166,145.23331000000005,Eastern Metropolitan
14 Barina Rd,house,4,2.0,2.0,665.0,254.0,2005.0,,,,Oak Park,11.5,-37.7146,144.9222,Northern Metropolitan
14 Barkly Av,townhouse,3,,,,,,1835000.0,Marshall,2017-05-13,Armadale,6.3,,,Southern Metropolitan
14 Bayview Cr,house,3,1.0,0.0,1281.0,,,610000.0,iTRAK,2017-12-08,The Basin,27.0,-37.863,145.30716,Eastern Metropolitan
14 Beaver St,house,5,3.0,3.0,880.0,303.0,1915.0,,,,Malvern East,11.2,-37.8701,145.0409,Southern Metropolitan
14 Beenak St,house,3,1.0,2.0,41400.0,,,572000.0,Ray,2016-04-23,Reservoir,11.2,-37.7104,145.0257,Northern Metropolitan
14 Belford Av,flat,3,,,,,,1292000.0,Noel,2016-12-11,Kew East,7.5,,,Southern Metropolitan
14 Belgrave St,house,2,1.0,1.0,341.0,,,,,,Hawthorn,4.6,-37.8285,145.0409,Southern Metropolitan
14 Bendigo Av,house,2,1.0,2.0,,,,1510000.0,Jellis,2017-10-14,Bentleigh,11.4,-37.92441,145.03654,Southern Metropolitan
14 Bennett St,house,4,1.0,3.0,605.0,,,,,,Alphington,5.7,-37.77405,145.03163,Northern Metropolitan
14 Bent St,house,3,1.0,1.0,251.0,129.0,1925.0,,,,Northcote,5.5,-37.7673,144.9981,Northern Metropolitan
14 Bernard St,house,3,1.0,1.0,612.0,165.0,1950.0,,,,Balwyn North,9.2,-37.787,145.0798,Southern Metropolitan
14 Berringa St,house,3,1.0,2.0,537.0,118.54,1960.0,570000.0,U,2017-06-24,Frankston,38.0,-38.14264,145.14684,South-Eastern Metropolitan
14 Beths St,house,4,4.0,2.0,673.0,156.0,1935.0,2700000.0,hockingstuart,2017-06-17,Bentleigh,11.4,-37.91888,145.04775,Southern Metropolitan
14 Binalong Av,house,3,,,,,,1265000.0,Ray,2017-06-05,Chadstone,13.6,,,Southern Metropolitan
14 Binnie St,house,4,,,,,,,,,Brighton East,10.3,,,Southern Metropolitan
14 Birk Ct,house,3,2.0,1.0,223.0,,,525000.0,Stockdale,2016-06-27,Gowanbrae,13.6,-37.704,144.8984,Western Metropolitan
14 Bolinda St,house,5,2.0,3.0,730.0,,,1800000.0,Buxton,2017-10-28,Bentleigh,11.4,-37.92047,145.04422,Southern Metropolitan
14 Borlase St,house,5,2.0,2.0,627.0,232.0,1960.0,1060000.0,Buckingham,2017-04-29,Yallambie,15.0,-37.7327,145.0804,Northern Metropolitan
14 Bossington St,house,3,1.0,2.0,646.0,,,981000.0,Buxton,2016-03-12,Oakleigh South,14.7,-37.9167,145.0855,South-Eastern Metropolitan
14 Bournian Av,house,4,,,,,,1335000.0,Nelson,2016-07-05,Strathmore,9.7,,,Western Metropolitan
14 Bowen St,house,2,2.0,2.0,211.0,122.0,1900.0,,,,Prahran,4.5,-37.8551,145.0037,Southern Metropolitan
14 Bowmore St,house,4,2.0,2.0,545.0,180.0,1940.0,1700000.0,Ray,2016-12-11,Hughesdale,13.0,-37.9002,145.0773,Southern Metropolitan
14 Box Av,house,4,2.0,2.0,653.0,653.0,1970.0,1350000.0,Noel,2017-09-23,Forest Hill,15.4,-37.84362,145.16976,Eastern Metropolitan
14 Braeburn Pl,house,4,,,,,,,,,Werribee,14.7,,,Western Metropolitan
14 Breadalbane Pl,house,3,2.0,2.0,315.0,,,1410000.0,Williams,2017-05-20,Newport,8.4,-37.8496,144.8868,Western Metropolitan
14 Bridgeford Cr,house,4,1.0,2.0,583.0,136.0,1975.0,410000.0,hockingstuart,2018-03-02,Melton South,29.8,-37.71357,144.57512,Western Victoria
14 Britten St,house,4,2.0,2.0,,324.0,1925.0,2850000.0,Marshall,2017-08-26,Glen Iris,7.3,-37.85645,145.06472,Southern Metropolitan
14 Buchanan Av,house,4,,,,,,,,,Balwyn North,9.2,,,Southern Metropolitan
14 Buxton Mw,house,4,2.0,2.0,,,,792500.0,Barry,2017-07-10,Berwick,35.2,-38.02888,145.35801999999995,Eastern Victoria
14 Byron St,house,3,2.0,1.0,283.0,187.0,1900.0,,,,Kew,5.6,-37.8119,145.0413,Southern Metropolitan
14 Callanish Rd,house,4,3.0,2.0,425.0,334.0,1940.0,,,,Camberwell,7.8,-37.8457,145.0867,Southern Metropolitan
14 Callantina Rd,house,5,3.0,2.0,780.0,,,,,,Hawthorn,5.3,-37.83363,145.03488000000004,Southern Metropolitan
14 Cambridge St,house,3,1.0,2.0,,182.0,1900.0,,,,Hawthorn East,6.2,-37.82218,145.05423000000005,Southern Metropolitan
14 Campbell St,house,5,4.0,2.0,788.0,418.0,2015.0,2670000.0,Ray,2017-10-14,Glen Waverley,16.7,-37.8693,145.17012,Eastern Metropolitan
14 Candy St,house,3,2.0,1.0,313.0,,,1575000.0,Nelson,2018-06-01,Northcote,5.3,-37.77983,144.99777,Northern Metropolitan
14 Carbine Ct,house,3,2.0,2.0,850.0,,,625000.0,Raine,2018-06-01,New Gisborne,48.1,-37.4639,144.60071000000005,Northern Victoria
14 Carbine Wy,house,3,2.0,4.0,708.0,,,675000.0,Ray,2017-08-07,Keilor Downs,15.5,-37.72659,144.79668,Western Metropolitan
14 Carlyle St,house,2,1.0,0.0,273.0,107.0,1890.0,,,,Hawthorn East,7.5,-37.8185,145.0578,Southern Metropolitan
14 Carpenter St,house,5,2.0,2.0,654.0,,,,,,Brighton,11.2,-37.9154,144.9933,Southern Metropolitan
14 Carrangall Pl,house,3,2.0,2.0,173.0,,,965000.0,Woodards,2016-08-28,Parkville,2.6,-37.7795,144.9413,Northern Metropolitan
14 Carson St,house,3,1.0,2.0,780.0,,,2600000.0,Kelly,2017-09-23,Kew,5.4,-37.80969,145.01967,Southern Metropolitan
14 Cascade St,house,4,1.0,1.0,847.0,,1939.0,,,,Balwyn North,9.2,-37.7893,145.0665,Southern Metropolitan
14 Cavell Ct,house,5,3.0,2.0,613.0,,,1780000.0,hockingstuart,2017-12-08,Beaumaris,17.3,-37.97732,145.04388,Southern Metropolitan
14 Chaleyer St,house,3,2.0,2.0,697.0,,,,,,Glen Iris,7.3,-37.85929,145.08508999999995,Southern Metropolitan
14 Chalmers La,house,3,2.0,2.0,194.0,176.0,2010.0,900000.0,Raine,2016-03-12,Newport,8.4,-37.8395,144.8787,Western Metropolitan
14 Chapel St,house,2,1.0,1.0,136.0,,,1236000.0,Collins,2017-09-12,Cremorne,2.4,-37.82741,144.99657,Northern Metropolitan
14 Charles St,townhouse,3,2.0,2.0,230.0,160.0,2012.0,935000.0,hockingstuart,2016-11-19,Bentleigh East,13.9,-37.9179,145.0592,Southern Metropolitan
14 Chaucer St,house,4,1.0,1.0,582.0,,,,,,Moonee Ponds,6.2,-37.76956,144.92255,Western Metropolitan
14 Chris Ct,house,3,2.0,2.0,587.0,,,870000.0,Buxton,2017-09-16,Aspendale Gardens,21.5,-38.02105,145.11982,South-Eastern Metropolitan
14 Clarence St,house,2,1.0,0.0,132.0,,,1000000.0,Nelson,2017-08-07,Flemington,3.4,-37.78696,144.92556000000005,Northern Metropolitan
14 Clavell Cr,house,4,2.0,2.0,,192.0,2015.0,642000.0,Iconek,2017-11-11,Wollert,25.5,-37.6127,145.0134,Northern Metropolitan
14 Clopton Ri,house,3,,,,,,680000.0,Ray,2017-08-26,Craigieburn,20.6,,,Northern Metropolitan
14 Clydebank Rd,house,3,1.0,2.0,613.0,,,810000.0,Nelson,2016-03-12,Essendon West,9.8,-37.7552,144.8882,Western Metropolitan
14 Collins St,house,4,2.0,2.0,590.0,231.0,1924.0,1670000.0,Marshall,2017-02-25,Box Hill,13.1,-37.8274,145.1242,Eastern Metropolitan
14 Columbia St,house,3,1.0,2.0,533.0,120.0,1960.0,802000.0,Ray,2016-08-10,Oakleigh South,14.7,-37.9348,145.0836,South-Eastern Metropolitan
14 Conway Cr,house,3,,,,,,,,,Balwyn,9.7,,,Southern Metropolitan
14 Coolabah Cr,house,3,2.0,4.0,,,1990.0,550000.0,Sweeney,2017-08-26,Hoppers Crossing,18.4,-37.8613,144.70937,Western Metropolitan
14 Corinella Sq,house,3,,,,,,852000.0,Barry,2017-11-18,Wantirna,14.7,,,Eastern Metropolitan
14 Covala Ct,house,3,1.0,0.0,930.0,,,805000.0,Darren,2017-07-15,St Helena,16.1,-37.6939,145.12899,Eastern Metropolitan
14 Creswick St,house,3,1.0,,650.0,95.0,1965.0,557500.0,S&L,2017-07-10,Laverton,15.5,-37.85585,144.77598,Western Metropolitan
14 Cumberland St,house,4,2.0,3.0,871.0,322.0,1937.0,2600000.0,Nelson,2016-06-18,Eaglemont,10.3,-37.7612,145.0676,Eastern Metropolitan
14 Cumming St,house,3,1.0,2.0,695.0,,,1530000.0,Buxton,2017-08-07,Burwood,10.4,-37.85126,145.1132,Southern Metropolitan
14 Cunningham St,house,4,1.0,1.0,,,,2250000.0,Nelson,2017-09-16,Northcote,5.3,-37.78207,144.99452,Northern Metropolitan
14 Curlew Av,house,3,2.0,2.0,,258.0,2003.0,,,,Altona,11.0,-37.86884000000001,144.81104,Western Metropolitan
14 Daffodil Rd,house,3,2.0,2.0,1153.0,,,815100.0,Ray,2017-10-28,Boronia,25.0,-37.86821,145.29093999999995,Eastern Metropolitan
