Address;Suburb;DistanceFromCenter;Lattitude;Longtitude;Regionname
10 Vaughan Cr;Kew;5,6;;;Southern Metropolitan
31 Barnard Gr;Kew;5,6;-37,7925;145,0351;Southern Metropolitan
75 Derby St;Kew;5,6;-37,8007;145,0374;Southern Metropolitan
14 Findon Cr;Kew;5,6;;;Southern Metropolitan
17 Gladstone St;Kew;5,6;-37,8023;145,0404;Southern Metropolitan
3/505 High St;Kew;5,6;-37,8017;145,0445;Southern Metropolitan
31 Miller Gr;Kew;5,6;-37,8107;145,0219;Southern Metropolitan
3/8 Mountain Gr;Kew;5,6;-37,8128;145,0588;Southern Metropolitan
47 Brougham St;Kew;5,6;-37,8048;145,0303;Southern Metropolitan
88 Edgevale Rd;Kew;5,6;-37,8125;145,043;Southern Metropolitan
1/204 Brougham St;Kew;5,6;-37,796;145,0324;Southern Metropolitan
4/1227 Burke Rd;Kew;5,6;-37,8109;145,0604;Southern Metropolitan
51 Davis St;Kew;5,6;-37,8108;145,0463;Southern Metropolitan
15 Edgevale Rd;Kew;5,6;-37,8146;145,0419;Southern Metropolitan
23 Grange Rd;Kew;5,6;-37,8112;145,05700000000002;Southern Metropolitan
13 Linnaker Pl;Kew;5,6;-37,7976;145,0269;Southern Metropolitan
7 Owen St;Kew;5,6;-37,8007;145,0528;Southern Metropolitan
6/60 Peel St;Kew;5,6;-37,8018;145,0337;Southern Metropolitan
1A Segtoune St;Kew;5,6;;;Southern Metropolitan
40 Studley Av;Kew;5,6;;;Southern Metropolitan
419 Barkers Rd;Kew;5,6;-37,8168;145,056;Southern Metropolitan
15 Barry St;Kew;5,6;-37,8029;145,0267;Southern Metropolitan
18 Finhaven Ct;Kew;5,6;;;Southern Metropolitan
101/75 Princess St;Kew;5,6;;;Southern Metropolitan
102/75 Princess St;Kew;5,6;;;Southern Metropolitan
1/4 Rowland St;Kew;5,6;-37,8117;145,0499;Southern Metropolitan
4/35 Studley Park Rd;Kew;5,6;-37,8071;145,0243;Southern Metropolitan
138 Edgevale Rd;Kew;5,6;-37,8103;145,0436;Southern Metropolitan
4/24 Highbury Gr;Kew;5,6;-37,8054;145,0373;Southern Metropolitan
3 Oshaughnessy St;Kew;5,6;-37,812;145,0268;Southern Metropolitan
2/120 Princess St;Kew;5,6;-37,7997;145,0304;Southern Metropolitan
27 Second Av;Kew;5,6;;;Southern Metropolitan
3/75 Alfred St;Kew;5,6;-37,8108;145,0545;Southern Metropolitan
33 Argyle Rd;Kew;5,6;-37,8034;145,0527;Southern Metropolitan
30 Cobden St;Kew;5,6;-37,8035;145,036;Southern Metropolitan
14 Denmark St;Kew;5,6;-37,8125;145,0283;Southern Metropolitan
13 Findon Cr;Kew;5,6;;;Southern Metropolitan
54a Parkhill Rd;Kew;5,6;-37,8048;145,0459;Southern Metropolitan
71 Peel St;Kew;5,6;-37,8013;145,0335;Southern Metropolitan
11/48 Princess St;Kew;5,6;-37,805;145,0294;Southern Metropolitan
67 Sackville St;Kew;5,6;-37,8131;145,0533;Southern Metropolitan
2/54 Studley Park Rd;Kew;5,6;-37,8066;145,0211;Southern Metropolitan
76 Walpole St;Kew;5,6;-37,8007;145,0327;Southern Metropolitan
32a Duke St;Kew;5,6;;;Southern Metropolitan
178 Peel St;Kew;5,6;;;Southern Metropolitan
11/6 Swinton Av;Kew;5,6;;;Southern Metropolitan
2/147 Willsmere Rd;Kew;5,6;-37,7925;145,0389;Southern Metropolitan
3/37 Atkins St;Kew;5,6;-37,8094;145,0446;Southern Metropolitan
4/13 Belmont Av;Kew;5,6;;;Southern Metropolitan
56 Cecil St;Kew;5,6;-37,8047;145,0534;Southern Metropolitan
302 Cotham Rd;Kew;5,6;-37,8096;145,0529;Southern Metropolitan
4/34 Dean St;Kew;5,6;-37,8148;145,0571;Southern Metropolitan
37 Disraeli St;Kew;5,6;-37,8019;145,0391;Southern Metropolitan
23 Gellibrand St;Kew;5,6;-37,8082;145,0323;Southern Metropolitan
74 Gladstone St;Kew;5,6;-37,7995;145,0418;Southern Metropolitan
21 Grandview Tce;Kew;5,6;-37,7933;145,0343;Southern Metropolitan
83 Normanby Rd;Kew;5,6;-37,8036;145,0545;Southern Metropolitan
17 Park La;Kew;5,6;-37,8137;145,0459;Southern Metropolitan
134 Parkhill Rd;Kew;5,6;-37,8058;145,0537;Southern Metropolitan
33 Wrixon St;Kew;5,6;-37,813;145,0468;Southern Metropolitan
3/15 Atkins St;Kew;5,6;-37,8101;145,0441;Southern Metropolitan
35 Barrington Av;Kew;5,6;;;Southern Metropolitan
2A Churchill St;Kew;5,6;-37,7997;145,046;Southern Metropolitan
30 College Pde;Kew;5,6;-37,8124;145,0361;Southern Metropolitan
176 Cotham Rd;Kew;5,6;-37,8083;145,0418;Southern Metropolitan
116 Edgevale Rd;Kew;5,6;-37,8114;145,0433;Southern Metropolitan
140 Eglinton St;Kew;5,6;-37,8009;145,0418;Southern Metropolitan
10 Kent St;Kew;5,6;-37,8069;145,0403;Southern Metropolitan
6 Moonbria Av;Kew;5,6;;;Southern Metropolitan
31 Peel St;Kew;5,6;-37,8034;145,0331;Southern Metropolitan
45 Stevenson St;Kew;5,6;-37,8098;145,02200000000002;Southern Metropolitan
93 Wellington St;Kew;5,6;-37,8102;145,0402;Southern Metropolitan
42 Atkins St;Kew;5,6;-37,8088;145,0451;Southern Metropolitan
1 Campbell St;Kew;5,6;-37,801;145,0497;Southern Metropolitan
2/49 Cecil St;Kew;5,6;-37,806;145,0524;Southern Metropolitan
24 Fitzwilliam St;Kew;5,6;-37,813;145,0411;Southern Metropolitan
5 Gellibrand St;Kew;5,6;-37,8096;145,032;Southern Metropolitan
32 Grandview Tce;Kew;5,6;-37,7931;145,0347;Southern Metropolitan
37 Heather Gr;Kew;5,6;-37,8046;145,0595;Southern Metropolitan
176 Peel St;Kew;5,6;-37,7937;145,0353;Southern Metropolitan
8 Tara Av;Kew;5,6;;;Southern Metropolitan
52 Argyle Rd;Kew;5,6;-37,804;145,0553;Southern Metropolitan
34 Cobden St;Kew;5,6;-37,8033;145,036;Southern Metropolitan
27 Studley Av;Kew;5,6;;;Southern Metropolitan
2/37 Wills St;Kew;5,6;-37,7993;145,0267;Southern Metropolitan
10/7 College Pde;Kew;5,6;-37,8135;145,0355;Southern Metropolitan
24 Hillcrest Av;Kew;5,6;;;Southern Metropolitan
5/17 Marshall Av;Kew;5,6;;;Southern Metropolitan
7a Peel St;Kew;5,6;-37,8053;145,0327;Southern Metropolitan
114b Princess St;Kew;5,6;;;Southern Metropolitan
9 Tara Av;Kew;5,6;;;Southern Metropolitan
3 Elphinstone Ct;Kew;5,6;-37,8058;145,0263;Southern Metropolitan
61 Molesworth St;Kew;5,6;-37,8006;145,0218;Southern Metropolitan
14 Stoke Av;Kew;5,6;;;Southern Metropolitan
97 Walpole St;Kew;5,6;-37,7973;145,033;Southern Metropolitan
5/13 Hope Ct;Kew;5,6;-37,7925;145,0263;Southern Metropolitan
2/13 Kent St;Kew;5,6;-37,8065;145,0401;Southern Metropolitan
91 Princess St;Kew;5,6;-37,8012;145,0297;Southern Metropolitan
15 Rimington Av;Kew;5,6;;;Southern Metropolitan
9/25 Derby St;Kew;5,6;-37,8034;145,0369;Southern Metropolitan
25 Duke St;Kew;5,6;-37,7952;145,0322;Southern Metropolitan
27 Earl St;Kew;5,6;-37,796;145,0377;Southern Metropolitan
4/97 Earl St;Kew;5,6;-37,794000000000004;145,032;Southern Metropolitan
2 Fernhurst Gr;Kew;5,6;-37,8067;145,0277;Southern Metropolitan
40 Hartington St;Kew;5,6;-37,7998;145,0432;Southern Metropolitan
51 Princess St;Kew;5,6;-37,8042;145,0291;Southern Metropolitan
26 Argyle Rd;Kew;5,6;-37,8036;145,0522;Southern Metropolitan
1/377 Barkers Rd;Kew;5,6;-37,8161;145,0501;Southern Metropolitan
80 Brougham St;Kew;5,6;-37,8037;145,0308;Southern Metropolitan
11 Gordon Av;Kew;5,6;;;Southern Metropolitan
6/13 Hope Ct;Kew;5,6;-37,7925;145,0263;Southern Metropolitan
7A Marshall Av;Kew;5,6;;;Southern Metropolitan
68 Mary St;Kew;5,6;-37,8044;145,0386;Southern Metropolitan
1/6 Ridgeway Av;Kew;5,6;;;Southern Metropolitan
2/78 Studley Park Rd;Kew;5,6;-37,8063;145,0179;Southern Metropolitan
3/99 Earl St;Kew;5,6;-37,7938;145,0321;Southern Metropolitan
205/56 Harp Rd;Kew;5,6;;;Southern Metropolitan
53 Mary St;Kew;5,6;-37,8046;145,0382;Southern Metropolitan
59 Peel St;Kew;5,6;-37,8018;145,0334;Southern Metropolitan
5/93 Princess St;Kew;5,6;-37,801;145,0297;Southern Metropolitan
75 Earl St;Kew;5,6;-37,7944;145,0339;Southern Metropolitan
3/100 Mount St;Kew;5,6;-37,8162;145,0592;Southern Metropolitan
21 Princess St;Kew;5,6;-37,8065;145,0287;Southern Metropolitan
127 Wellington St;Kew;5,6;-37,8105;145,0429;Southern Metropolitan
2/37 Atkins St;Kew;5,6;-37,8094;145,0446;Southern Metropolitan
6 Belmont Av;Kew;5,6;;;Southern Metropolitan
14 Byron St;Kew;5,6;-37,8119;145,0413;Southern Metropolitan
8 Carnsworth Av;Kew;5,6;;;Southern Metropolitan
60 Childers St;Kew;5,6;-37,7981;145,0423;Southern Metropolitan
18 Collins St;Kew;5,6;-37,7982;145,0281;Southern Metropolitan
4/206 Cotham Rd;Kew;5,6;-37,8087;145,0452;Southern Metropolitan
36 Denmark St;Kew;5,6;-37,8116;145,0285;Southern Metropolitan
33 Disraeli St;Kew;5,6;-37,8021;145,0391;Southern Metropolitan
27 Fernhurst Gr;Kew;5,6;-37,8042;145,0279;Southern Metropolitan
7 Heather Gr;Kew;5,6;-37,8064;145,0608;Southern Metropolitan
47 Kellett Gr;Kew;5,6;-37,7915;145,0348;Southern Metropolitan
69 Malin St;Kew;5,6;-37,8117;145,0449;Southern Metropolitan
23 Valentine Av;Kew;5,6;;;Southern Metropolitan
157 Wiltshire Dr;Kew;5,6;-37,7941;145,0238;Southern Metropolitan
1181 Burke Rd;Kew;5,6;-37,8149;145,0596;Southern Metropolitan
62 Campbell St;Kew;5,6;-37,8022;145,0565;Southern Metropolitan
11/54 Charles St;Kew;5,6;-37,8087;145,0354;Southern Metropolitan
54 First Av;Kew;5,6;;;Southern Metropolitan
43 Kellett Gr;Kew;5,6;-37,7916;145,0352;Southern Metropolitan
2 Perry Ct;Kew;5,6;-37,8064;145,0589;Southern Metropolitan
3/40 Rowland St;Kew;5,6;-37,8126;145,0534;Southern Metropolitan
25 Stoke Av;Kew;5,6;;;Southern Metropolitan
16 Swinton Av;Kew;5,6;;;Southern Metropolitan
7 Victor Av;Kew;5,6;;;Southern Metropolitan
6/108 Walpole St;Kew;5,6;-37,7978;145,0333;Southern Metropolitan
31 Argyle Rd;Kew;5,6;-37,8033;145,0526;Southern Metropolitan
15/8 Cobden St;Kew;5,6;-37,8041;145,0359;Southern Metropolitan
97 Edgevale Rd;Kew;5,6;-37,8115;145,0429;Southern Metropolitan
46 Grandview Tce;Kew;5,6;-37,7929;145,0335;Southern Metropolitan
17 Hartington St;Kew;5,6;-37,8017;145,0419;Southern Metropolitan
26 Pakington St;Kew;5,6;-37,8033;145,0348;Southern Metropolitan
82 Parkhill Rd;Kew;5,6;-37,8052;145,0489;Southern Metropolitan
72 Peel St;Kew;5,6;-37,8007;145,0339;Southern Metropolitan
26 Queen St;Kew;5,6;-37,8074;145,0318;Southern Metropolitan
42 Ridgeway Av;Kew;5,6;;;Southern Metropolitan
51 Stawell St;Kew;5,6;-37,8047;145,0212;Southern Metropolitan
34 Alfred St;Kew;5,6;-37,8107;145,05100000000002;Southern Metropolitan
28/60 Harp Rd;Kew;5,6;-37,7999;145,0544;Southern Metropolitan
49 Princess St;Kew;5,6;-37,8043;145,0291;Southern Metropolitan
3 Wills St;Kew;5,6;-37,7994;145,0296;Southern Metropolitan
34 Baker Av;Kew East;7,5;;;Southern Metropolitan
1/3 Leason St;Kew East;7,5;-37,7917;145,0566;Southern Metropolitan
43 Oswin St;Kew East;7,5;-37,7936;145,0566;Southern Metropolitan
4/34 Strathalbyn St;Kew East;7,5;-37,7971;145,0514;Southern Metropolitan
73 Belford Rd;Kew East;7,5;-37,7955;145,0473;Southern Metropolitan
6 Tanner Av;Kew East;7,5;;;Southern Metropolitan
106 Kilby Rd;Kew East;7,5;-37,7923;145,0528;Southern Metropolitan
2 Longstaff St;Kew East;7,5;-37,7913;145,0539;Southern Metropolitan
2/37 Strathalbyn St;Kew East;7,5;-37,7969;145,0511;Southern Metropolitan
14 Irymple Av;Kew East;7,5;;;Southern Metropolitan
19 Woolcock Av;Kew East;7,5;;;Southern Metropolitan
1/23 Windella Av;Kew East;7,5;;;Southern Metropolitan
52 Frater St;Kew East;7,5;-37,789;145,0616;Southern Metropolitan
35 McConchie Av;Kew East;7,5;;;Southern Metropolitan
5/111 Kilby Rd;Kew East;7,5;-37,792;145,0537;Southern Metropolitan
14 Belford Av;Kew East;7,5;;;Southern Metropolitan
18 Cole Av;Kew East;7,5;;;Southern Metropolitan
1 Meldrum St;Kew East;7,5;-37,7916;145,0529;Southern Metropolitan
30 Willow Gr;Kew East;7,5;-37,7894;145,0462;Southern Metropolitan
96 Kilby Rd;Kew East;7,5;-37,7922;145,0518;Southern Metropolitan
4/16 Woodlands Av;Kew East;7,5;;;Southern Metropolitan
41 White Av;Kew East;7,5;;;Southern Metropolitan
7 Violet Gr;Kew East;7,5;-37,799;145,0578;Southern Metropolitan
33a Westbrook St;Kew East;7,5;-37,7956;145,0525;Southern Metropolitan
44 Westbrook St;Kew East;7,5;-37,7951;145,053;Southern Metropolitan
62 Munro St;Kew East;7,5;-37,7881;145,0631;Southern Metropolitan
36 Belford Rd;Kew East;7,5;-37,7981;145,0472;Southern Metropolitan
41 Frater St;Kew East;7,5;-37,7897;145,0611;Southern Metropolitan
29a Irymple Av;Kew East;7,5;;;Southern Metropolitan
2 Violet Gr;Kew East;7,5;-37,7997;145,058;Southern Metropolitan
17 Hamilton St;Kew East;7,5;-37,7974;145,0491;Southern Metropolitan
2/1 Hartwood St;Kew East;7,5;-37,7975;145,0534;Southern Metropolitan
13 Ratten Av;Kew East;7,5;;;Southern Metropolitan
17 Minogue St;Kew East;7,5;-37,7904;145,0548;Southern Metropolitan
1/173 Kilby Rd;Kew East;7,5;-37,7927;145,0597;Southern Metropolitan
42 Willow Gr;Kew East;7,5;-37,7885;145,0466;Southern Metropolitan
174 Kilby Rd;Kew East;7,5;-37,793;145,0592;Southern Metropolitan
89 Kilby Rd;Kew East;7,5;-37,7917;145,0509;Southern Metropolitan
28 Coleman Av;Kew East;7,5;;;Southern Metropolitan
1/50 Hartwood St;Kew East;7,5;-37,7938;145,0545;Southern Metropolitan
6/27 Windella Av;Kew East;7,5;;;Southern Metropolitan
9a Arden Ct;Kew East;7,5;-37,7917;145,0585;Southern Metropolitan
581 High St;Kew East;7,5;-37,8001;145,0484;Southern Metropolitan
4/69 Windella Av;Kew East;7,5;;;Southern Metropolitan
3/14 Arden Ct;Kew East;7,5;-37,7923;145,0595;Southern Metropolitan
1/27 Windella Av;Kew East;7,5;;;Southern Metropolitan
35 Frater St;Kew East;7,5;-37,7902;145,061;Southern Metropolitan
1/2 Kitchener St;Kew East;7,5;-37,7966;145,048;Southern Metropolitan
36 Baker Av;Kew East;7,5;;;Southern Metropolitan
43 Ramsay Av;Kew East;7,5;;;Southern Metropolitan
8 Wattle Rd;Kew East;7,5;-37,7891;145,0469;Southern Metropolitan
1/6 Windella Av;Kew East;7,5;;;Southern Metropolitan
1/23 Woodlands Av;Kew East;7,5;;;Southern Metropolitan
30 Monaro Rd;Kooyong;6,2;-37,8435;145,0345;Southern Metropolitan
5/414 Glenferrie Rd;Kooyong;6,2;-37,8417;145,0321;Southern Metropolitan
4/1 Monaro Rd;Kooyong;6,2;-37,8406;145,0341;Southern Metropolitan
87 Talbot Cr;Kooyong;6,2;;;Southern Metropolitan
6/1 Monaro Rd;Kooyong;6,2;-37,8407;145,0343;Southern Metropolitan
77 Elizabeth St;Kooyong;6,2;-37,844;145,037;Southern Metropolitan
2A Moralla Rd;Kooyong;6,2;-37,8436;145,0333;Southern Metropolitan
8 Avenel Rd;Kooyong;6,2;-37,8433;145,0359;Southern Metropolitan
105 Elizabeth St;Kooyong;6,2;-37,8409;145,0376;Southern Metropolitan
81 Talbot Cr;Kooyong;6,2;;;Southern Metropolitan
12 Bosquet St;Maidstone;9,2;-37,7832;144,8745;Western Metropolitan
3 Crefden St;Maidstone;9,2;-37,7773;144,8725;Western Metropolitan
27 Dunedin St;Maidstone;9,2;-37,7808;144,8678;Western Metropolitan
2/22 Jackson St;Maidstone;9,2;-37,7857;144,8732;Western Metropolitan
32 Ringtail Cct;Maidstone;9,2;-37,7833;144,8817;Western Metropolitan
8/101 Ballarat Rd;Maidstone;9,2;-37,7863;144,8769;Western Metropolitan
19 Norfolk St;Maidstone;9,2;-37,789;144,8813;Western Metropolitan
5/16 Omar St;Maidstone;9,2;-37,7806;144,8714;Western Metropolitan
26 Inkerman St;Maidstone;9,2;-37,7863;144,881;Western Metropolitan
12 Lindenow St;Maidstone;9,2;-37,779;144,8832;Western Metropolitan
4/27 Baird St;Maidstone;9,2;-37,7898;144,8722;Western Metropolitan
3 Hutton St;Maidstone;9,2;-37,786;144,871;Western Metropolitan
4/116 Ballarat Rd;Maidstone;9,2;;;Western Metropolitan
2/45 Cathcart St;Maidstone;9,2;-37,7844;144,8791;Western Metropolitan
21 Pullar St;Maidstone;9,2;-37,7838;144,8724;Western Metropolitan
4/11 Edmund St;Maidstone;9,2;;;Western Metropolitan
29 Rosamond Rd;Maidstone;9,2;-37,7858;144,8834;Western Metropolitan
25 Carlyle St;Maidstone;9,2;-37,7905;144,8762;Western Metropolitan
2/120 Suffolk St;Maidstone;9,2;-37,7895;144,8667;Western Metropolitan
17 Churchill Av;Maidstone;9,2;;;Western Metropolitan
11 Madden St;Maidstone;9,2;-37,79;144,8815;Western Metropolitan
3/20 Burns St;Maidstone;9,2;-37,7868;144,8772;Western Metropolitan
44 Inkerman St;Maidstone;9,2;-37,7861;144,8791;Western Metropolitan
1/165 Mitchell St;Maidstone;9,2;-37,7817;144,8685;Western Metropolitan
67 Norfolk St;Maidstone;9,2;-37,7885;144,8771;Western Metropolitan
4/4 Crefden St;Maidstone;9,2;-37,7776;144,8723;Western Metropolitan
16 Lindenow St;Maidstone;9,2;-37,779;144,8829;Western Metropolitan
10 Thomson St;Maidstone;9,2;-37,7896;144,8752;Western Metropolitan
67 Ballarat Rd;Maidstone;9,2;-37,7871;144,8791;Western Metropolitan
6/2 Crefden St;Maidstone;9,2;-37,7776;144,8723;Western Metropolitan
9/15 Eucalyptus Dr;Maidstone;9,2;-37,7794;144,872;Western Metropolitan
1/166 Mitchell St;Maidstone;9,2;-37,7813;144,8678;Western Metropolitan
1/27 Baird St;Maidstone;9,2;-37,7895;144,8723;Western Metropolitan
10 Churchill Av;Maidstone;9,2;;;Western Metropolitan
2/48 Inkerman St;Maidstone;9,2;-37,7859;144,8787;Western Metropolitan
45 Radio St;Maidstone;9,2;-37,7798;144,8661;Western Metropolitan
14 Suffolk St;Maidstone;9,2;-37,7905;144,8812;Western Metropolitan
48/48 Eucalyptus Dr;Maidstone;9,2;-37,7795;144,8729;Western Metropolitan
3/29 Burns St;Maidstone;9,2;;;Western Metropolitan
2/32 Burns St;Maidstone;9,2;-37,7869;144,8749;Western Metropolitan
29 Marsh St;Maidstone;9,2;-37,781;144,8813;Western Metropolitan
43 Omar St;Maidstone;9,2;-37,7784;144,8708;Western Metropolitan
19/12 Crefden St;Maidstone;9,2;-37,7795;144,8729;Western Metropolitan
17/46 Eucalyptus Dr;Maidstone;9,2;-37,7795;144,8729;Western Metropolitan
21 Montgomery St;Maidstone;9,2;-37,787;144,8654;Western Metropolitan
47 Radio St;Maidstone;9,2;-37,7798;144,8659;Western Metropolitan
14a Scovell Cr;Maidstone;9,2;;;Western Metropolitan
4 Maple St;Maidstone;9,2;-37,7746;144,8727;Western Metropolitan
38 Suffolk St;Maidstone;9,2;-37,7909;144,8777;Western Metropolitan
32c Burns St;Maidstone;9,2;-37,787;144,8748;Western Metropolitan
3 Ringtail Cct;Maidstone;9,2;-37,7831;144,8825;Western Metropolitan
18 Wallace St;Maidstone;9,2;-37,7877;144,8772;Western Metropolitan
191 Ballarat Rd;Maidstone;9,2;-37,7829;144,8684;Western Metropolitan
1/12 Clarendon St;Maidstone;9,2;-37,7844;144,8665;Western Metropolitan
4/6 Crefden St;Maidstone;9,2;-37,7776;144,8723;Western Metropolitan
2 Omar St;Maidstone;9,2;-37,7824;144,8704;Western Metropolitan
62 Suffolk St;Maidstone;9,2;-37,7905;144,8739;Western Metropolitan
1/11 Baird St;Maidstone;9,2;;;Western Metropolitan
40 Howard St;Maidstone;9,2;-37,7889;144,8787;Western Metropolitan
45 Norfolk St;Maidstone;9,2;-37,7887;144,8788;Western Metropolitan
11d Rooney St;Maidstone;9,2;-37,7846;144,87;Western Metropolitan
20 Kanooka Dr;Maidstone;9,2;-37,777;144,8728;Western Metropolitan
14 Madden St;Maidstone;9,2;-37,7898;144,8817;Western Metropolitan
1/39 Spurling St;Maidstone;9,2;-37,7843;144,8747;Western Metropolitan
171 Mitchell St;Maidstone;9,2;-37,7817;144,868;Western Metropolitan
13 Burns St;Maidstone;9,2;-37,7874;144,8763;Western Metropolitan
2/13 Radio St;Maidstone;9,2;-37,7801;144,869;Western Metropolitan
14 Howard St;Maidstone;9,2;-37,7893;144,8818;Western Metropolitan
9 Verdun St;Maidstone;9,2;-37,782;144,8828;Western Metropolitan
17 Horace St;Malvern;7,4;-37,8627;145,0391;Southern Metropolitan
39 McKinley Av;Malvern;7,4;;;Southern Metropolitan
17 Shaftesbury Av;Malvern;7,4;;;Southern Metropolitan
2/240 Wattletree Rd;Malvern;7,4;-37,8638;145,0376;Southern Metropolitan
1/11 Mayfield Av;Malvern;7,4;;;Southern Metropolitan
17 Chesterfield Av;Malvern;7,4;;;Southern Metropolitan
1/3 Irving St;Malvern;7,4;-37,8597;145,0318;Southern Metropolitan
9/3 Irving St;Malvern;7,4;-37,8597;145,0318;Southern Metropolitan
17/246 Wattletree Rd;Malvern;7,4;-37,8638;145,0379;Southern Metropolitan
95 Claremont Av;Malvern;7,4;;;Southern Metropolitan
35 Dixon St;Malvern;7,4;-37,8607;145,0373;Southern Metropolitan
8/6 Finlayson St;Malvern;7,4;-37,8683;145,0358;Southern Metropolitan
12 Hornsby St;Malvern;7,4;-37,8493;145,0395;Southern Metropolitan
3 Plant St;Malvern;7,4;-37,8515;145,0324;Southern Metropolitan
27 Alice St;Malvern;7,4;-37,8556;145,0389;Southern Metropolitan
12 Robinson St;Malvern;7,4;-37,8488;145,0349;Southern Metropolitan
67 Wheatland Rd;Malvern;7,4;-37,866;145,039;Southern Metropolitan
27 Bonview Rd;Malvern;7,4;-37,8532;145,0373;Southern Metropolitan
3/58 Cawkwell St;Malvern;7,4;-37,854;145,041;Southern Metropolitan
11 Eva St;Malvern;7,4;-37,8562;145,0373;Southern Metropolitan
32a Ewart St;Malvern;7,4;-37,8699;145,037;Southern Metropolitan
19 Glendearg Gr;Malvern;7,4;-37,8655;145,0328;Southern Metropolitan
206/361 Glenferrie Rd;Malvern;7,4;-37,851;145,03;Southern Metropolitan
19 Gordon Gr;Malvern;7,4;-37,8636;145,0301;Southern Metropolitan
7/6 Irving St;Malvern;7,4;-37,8597;145,0322;Southern Metropolitan
8/15 Wheatland Rd;Malvern;7,4;-37,8654;145,0344;Southern Metropolitan
35 Evandale Rd;Malvern;7,4;-37,8644;145,0302;Southern Metropolitan
4/382 Glenferrie Rd;Malvern;7,4;-37,8454;145,0314;Southern Metropolitan
30 Grace St;Malvern;7,4;-37,8596;145,0357;Southern Metropolitan
3/6 Irving St;Malvern;7,4;-37,8597;145,0322;Southern Metropolitan
2/64 Cawkwell St;Malvern;7,4;-37,8537;145,041;Southern Metropolitan
8/7 Warner St;Malvern;7,4;-37,8515;145,0372;Southern Metropolitan
20 Norfolk Pl;Malvern;7,4;-37,8486;145,0325;Southern Metropolitan
21a Claremont Av;Malvern;7,4;;;Southern Metropolitan
25 Edsall St;Malvern;7,4;-37,861;145,0309;Southern Metropolitan
30 Parslow St;Malvern;7,4;-37,8508;145,0404;Southern Metropolitan
42 Stanhope St;Malvern;7,4;-37,8583;145,0298;Southern Metropolitan
51 Dixon St;Malvern;7,4;-37,8586;145,0375;Southern Metropolitan
41 Milton Pde;Malvern;7,4;-37,8467;145,0393;Southern Metropolitan
41 Horace St;Malvern;7,4;-37,8613;145,0393;Southern Metropolitan
3/2 Cawkwell St;Malvern;7,4;-37,8577;145,0406;Southern Metropolitan
42 Cressy St;Malvern;7,4;-37,8502;145,0418;Southern Metropolitan
312 Glenferrie Rd;Malvern;7,4;-37,8527;145,0301;Southern Metropolitan
109/1387 Malvern Rd;Malvern;7,4;;;Southern Metropolitan
22 Milton Pde;Malvern;7,4;-37,8462;145,0386;Southern Metropolitan
60 Milton Pde;Malvern;7,4;-37,8488;145,0403;Southern Metropolitan
203/1 Norfolk Pl;Malvern;7,4;;;Southern Metropolitan
85 Stanhope St;Malvern;7,4;-37,8587;145,0358;Southern Metropolitan
29/202 Wattletree Rd;Malvern;7,4;-37,8633;145,0338;Southern Metropolitan
14 Woodmason St;Malvern;7,4;-37,8511;145,0317;Southern Metropolitan
6/20 Johnstone St;Malvern;7,4;-37,8693;145,0348;Southern Metropolitan
9/42 Winter St;Malvern;7,4;-37,8606;145,0326;Southern Metropolitan
304/361 Glenferrie Rd;Malvern;7,4;-37,851;145,03;Southern Metropolitan
1/19 Horace St;Malvern;7,4;-37,8626;145,0391;Southern Metropolitan
54 Jordan St;Malvern;7,4;-37,8602;145,0388;Southern Metropolitan
10/37 Wheatland Rd;Malvern;7,4;-37,8656;145,036;Southern Metropolitan
40 Cawkwell St;Malvern;7,4;-37,8547;145,0408;Southern Metropolitan
9 Fraser St;Malvern;7,4;-37,858000000000004;145,0351;Southern Metropolitan
16/236 Wattletree Rd;Malvern;7,4;-37,8637;145,0373;Southern Metropolitan
45 Wheatland Rd;Malvern;7,4;-37,8657;145,037;Southern Metropolitan
109/14 Elizabeth St;Malvern;7,4;-37,8514;145,0361;Southern Metropolitan
6 Euston St;Malvern;7,4;-37,8567;145,0389;Southern Metropolitan
3/423 Glenferrie Rd;Malvern;7,4;-37,8457;145,0304;Southern Metropolitan
34 Johnstone St;Malvern;7,4;-37,8684;145,035;Southern Metropolitan
10 Woodmason St;Malvern;7,4;-37,851;145,0316;Southern Metropolitan
82 Elizabeth St;Malvern;7,4;-37,8449;145,0373;Southern Metropolitan
7 Lysterville Av;Malvern;7,4;;;Southern Metropolitan
18 Soudan St;Malvern;7,4;-37,8653;145,0304;Southern Metropolitan
3/298 Glenferrie Rd;Malvern;7,4;-37,8549;145,0298;Southern Metropolitan
24 Hunter St;Malvern;7,4;-37,8677;145,0353;Southern Metropolitan
37 Claremont Av;Malvern;7,4;;;Southern Metropolitan
13 Euston St;Malvern;7,4;;;Southern Metropolitan
7 Hunter St;Malvern;7,4;-37,8674;145,0355;Southern Metropolitan
3 Mary St;Malvern;7,4;-37,8469;145,0377;Southern Metropolitan
59 Thanet St;Malvern;7,4;-37,8632;145,0362;Southern Metropolitan
2/2 Cawkwell St;Malvern;7,4;-37,8575;145,0406;Southern Metropolitan
11 Chesterfield Av;Malvern;7,4;;;Southern Metropolitan
24/1231 Malvern Rd;Malvern;7,4;-37,852;145,0343;Southern Metropolitan
2 McArthur St;Malvern;7,4;-37,8575;145,0392;Southern Metropolitan
