Address	Type	Rooms	Bathroom	CarSpots	Landsize	BuildingArea	YearBuilt
15 Wright St	house	3	1.0	1.0	429.0		
38 Alfred Rd	house	3	1.0	1.0	618.0	132.0	1960.0
1/1 Ardoch St	flat	2	1.0	1.0	88.0		1970.0
95 Bradshaw St	house	2	1.0	1.0	414.0		
118 Buckley St	house	3	1.0	2.0	0.0	700.0	1915.0
1/52 Elder Pde	flat	3	1.0	1.0	0.0		
5 Loeman St	house	4	2.0	2.0	411.0	266.0	1996.0
21 Miller St	house	3	2.0	1.0	400.0	168.0	1910.0
33 Ogilvie St	house	4	1.0	2.0	533.0	127.0	1950.0
4/11 Spencer St	flat	2	1.0	1.0	0.0	59.0	1960.0
1 Braemar St	house	3	2.0	2.0	625.0		
6/7 Schofield St	townhouse	2	1.0	1.0	0.0		1970.0
2/17 Bulla Rd	flat	2	1.0	1.0	0.0	56.0	1975.0
3 Oshannassy St	house	3	2.0	2.0	758.0		
2/10 Oshannassy St	flat	2	1.0	1.0	999.0		1970.0
4/17 Bulla Rd	flat	1	1.0	1.0	0.0		
11 Duffy St	house	3	1.0	1.0	766.0		
4/8 Keam St	flat	2	1.0	1.0	88.0	59.0	1960.0
78/100 Keilor Rd	flat	2	2.0	1.0	2020.0	69.0	2012.0
64 Kerferd St	house	5	3.0	2.0	463.0	196.0	1930.0
1/48 Keilor Rd	flat	2	1.0	1.0	0.0	65.0	1960.0
2/31 Greville St	flat	3	2.0	1.0	0.0	134.0	2002.0
21 Greville St	house	4	2.0	2.0	607.0		1940.0
1 Dudley St	house	3	2.0	2.0	10100.0		
2/40 Prince St	townhouse	3					
150 Gillies St	house	3	2.0	0.0	327.0	144.0	1910.0
46 Perry St	house	3	1.0	1.0	480.0		
7 Rathmines St	house	3	1.0	2.0	309.0	110.0	2000.0
96 Perry St	house	4	2.0	4.0	568.0	196.0	1920.0
197 Wingrove St	house	3	1.0	2.0	530.0		
192 Gillies St	house	3	1.0	1.0	235.0		1900.0
17 Langridge St	house	3					
229 Rathmines St	house	2	1.0	2.0	537.0	92.0	1950.0
197 Station St	house	4	2.0	1.0	381.0	145.0	1890.0
2/115 Gillies St	flat	2	1.0	1.0	0.0	70.0	1970.0
176 Gillies St	house	3	1.0	1.0	496.0	150.0	1910.0
20/262 Heidelberg Rd	flat	2	1.0	1.0	0.0	77.0	2013.0
3/260 Rathmines St	townhouse	3	1.0	1.0	185.0	107.0	1990.0
13/39 Park Cr	flat	2					
7/223 Station St	flat	2	1.0	1.0	0.0	68.0	1970.0
2/152 Gillies St	house	2	1.0	1.0	66.0		
7/59 Rathmines St	flat	2	1.0	1.0	0.0	56.0	1970.0
3/18 Gillies St	flat	2	1.0	1.0	116.0		1985.0
5/305 Station St	flat	2	1.0	1.0	0.0	55.0	1970.0
88 Perry St	house	4	2.0	2.0	490.0	226.0	2007.0
4/28 Rushall St	flat	2	1.0	1.0	0.0		
209 Arthur St	house	4	3.0	2.0	349.0	149.0	1980.0
208 Bastings St	house	3					
125 Grange Rd	house	3	2.0	1.0	743.0		
1/72 Rathmines St	flat	2	1.0	1.0	1658.0	68.0	1970.0
31 Rushall St	house	3	1.0	1.0	0.0	125.0	1925.0
4/10 Station St	flat	1	1.0	1.0	0.0		
139 Christmas St	house	3	2.0	1.0	170.0		
7 Darling St	house	3	1.0	2.0	600.0		1950.0
186 Gillies St	house	3	2.0	3.0	814.0	130.0	1940.0
45 McGregor St	house	3	2.0	4.0	735.0		1950.0
52 Rayment St	house	3	1.0	4.0	553.0	109.0	1930.0
254 Rathmines St	house	4	3.0	2.0	575.0	280.0	2015.0
100 Perry St	house	2	1.0	1.0	285.0		
231 Station St	house	3	1.0	2.0	630.0		1930.0
4/224 Arthur St	townhouse	2	1.0	1.0	140.0	2.0	2008.0
6 Separation St	house	4	3.0	2.0	613.0		
62 Perry St	house	3	2.0	2.0	0.0		
225 Gillies St	house	3	1.0	2.0	382.0	140.0	1950.0
15/262 Heidelberg Rd	flat	2	1.0	1.0	0.0	68.0	2014.0
189 Rathmines St	house	3	1.0	1.0	0.0	126.0	1910.0
1/203 Station St	flat	2	1.0	2.0	0.0	75.0	1970.0
48 Gordon St	house	3	1.0	1.0	453.0		
14/233 Station St	flat	1	1.0	1.0	0.0	33.0	1970.0
103/57 Station St	flat	2					
1/240 Arthur St	flat	2	1.0	1.0	0.0	77.0	2002.0
250 Arthur St	house	3	1.0	3.0	590.0		
147 Gillies St	house	3	1.0	1.0	496.0	122.0	1910.0
111 Cecil St	house	2	1.0	0.0	128.0		
3/18 Hanover St	house	3	2.0	2.0	0.0	137.0	2004.0
208 Kerr St	house	2	2.0	2.0	0.0		
20 Greeves St	house	2	1.0	0.0	133.0		
4/113 Cecil St	flat	2	1.0	2.0	0.0	71.0	1965.0
502/69 Victoria St	flat	2	1.0	1.0	0.0		
68 Alexandra Pde	house	3	1.0	1.0	135.0	113.0	1900.0
127 George St	house	4	1.0	1.0	186.0		1902.0
199 Moor St	house	1	1.0	0.0	87.0	66.0	1980.0
202/45 Rose St	flat	2					
302 Gore St	house	4	2.0	2.0	261.0	172.0	1890.0
15/300 Young St	flat	2	2.0	1.0	0.0	85.0	2011.0
291 George St	house	2	1.0	0.0	0.0	105.0	1890.0
1/59 Leicester St	townhouse	3	2.0	2.0	0.0		
7/56 Leicester St	townhouse	2	2.0	2.0	0.0	105.0	2000.0
52 Nicholson St	house	4	4.0	2.0	337.0	291.0	1854.0
124 Westgarth St	house	3	2.0	1.0	138.0		1900.0
258 Napier St	house	3	2.0	1.0	187.0		
36 Alexandra Pde	house	2	1.0	1.0	129.0	95.0	1900.0
9/144 George St	flat	2					
431 George St	house	3	1.0	1.0	113.0	105.0	1890.0
190 Gore St	house	2	1.0	0.0	95.0		
4 Garfield St	house	2	2.0	0.0	89.0	93.0	1890.0
20 Westgarth St	house	2	1.0	0.0	141.0		
31 Bell St	house	4	1.0	0.0	177.0	152.0	1890.0
5/113 Cecil St	flat	1	1.0	1.0	0.0		2000.0
2/41 Kerr St	house	2					
24/26 Victoria St	flat	2	1.0	1.0	0.0		
135 George St	house	2	1.0	2.0	356.0	80.0	1880.0
113/300 Young St	flat	1	1.0	1.0	0.0	52.0	2011.0
60 Bell St	house	4	2.0	1.0	132.0	165.0	1880.0
4/44 Brunswick St	flat	1					
47 Charles St	house	3	2.0	1.0	261.0		
10/5 St David St	flat	3	2.0	1.0	2782.0	115.0	2000.0
309/416 Gore St	flat	2	1.0	1.0	0.0		
84 Kerr St	house	2	1.0	0.0	106.0	101.0	1890.0
405/160 Argyle St	flat	2					
306/96 charles St	flat	2	2.0	0.0	0.0		
107 Cecil St	house	2	1.0	1.0	157.0	110.0	1900.0
218 Kerr St	flat	2	1.0	1.0	0.0	116.0	1900.0
2/23 George St	flat	1					
8/98 George St	flat	1	1.0	1.0	782.0	42.0	1975.0
101/416 Gore St	flat	2	1.0	1.0	0.0	74.0	1900.0
303/185 Rose St	flat	2	1.0	1.0	0.0	74.0	2011.0
206/424 Gore St	flat	1	1.0	1.0	0.0	62.0	
116 Leicester St	house	2	2.0	1.0	64.0	138.0	1995.0
9/56 Leicester St	townhouse	2	1.0	1.0	0.0	90.0	2002.0
6/226 Moor St	flat	2	1.0	1.0	0.0	70.0	2007.0
17 Bell St	house	4	3.0	2.0	286.0	275.0	1890.0
11 Henry St	house	2	1.0	0.0	67.0		1850.0
46 Gore St	house	4	1.0	1.0	196.0		1890.0
315 Young St	house	3	2.0	0.0	93.0	93.0	1890.0
233/4 Bik La	flat	2	2.0	1.0	4332.0	85.0	2010.0
470 Brunswick St	house	2	1.0	0.0	104.0	70.0	1880.0
50 Freeman St	house	2	1.0	0.0	107.0	64.0	1910.0
76 Newry St	house	2	1.0	0.0	152.0		
2 Pilkington St	house	4	2.0	1.0	266.0	175.0	1950.0
186 Queens Pde	townhouse	2	3.0	0.0	2778.0	3558.0	
2/148 Barkly St	house	3					
129/4 Bik La	flat	2	2.0	2.0	4296.0		2011.0
276 McKean St	house	3	2.0	1.0	177.0		
59 Newry St	house	3	2.0	0.0	163.0	128.0	1880.0
7/14 Rae St	flat	1	1.0	1.0	0.0	40.0	1975.0
24 Taylor St	house	3	1.0	0.0	249.0		
51 Rae St	house	2	2.0	1.0	134.0	151.0	1905.0
22 Laura Pl	house	2					
92 Scotchmer St	house	2	1.0	1.0	150.0	77.0	1890.0
5/35 Jamieson St	townhouse	3	2.0	1.0	112.0	145.0	2000.0
780 Brunswick St	house	3	1.0	1.0	197.0	128.0	1900.0
1/180 Queens Pde	townhouse	2	2.0	1.0	0.0		
24 Apperley St	house	2	1.0	0.0	122.0		
605/4 Bik La	flat	2	2.0	1.0	4296.0		2011.0
201A Clauscen St	house	3	1.0	0.0	275.0	116.0	1915.0
11 Freeman St	house	3	1.0	0.0	176.0		1900.0
373 Rae St	house	3	1.0	1.0	148.0		
26 Scotchmer St	townhouse	3	3.0	1.0	188.0	129.0	2000.0
3/6 Melville St	townhouse	2	1.0	1.0	0.0	119.0	1970.0
13 Alister St	house	5	2.0	3.0	818.0		
28 Percy St	house	2	1.0	0.0	145.0		
16/81 Alfred Cr	flat	2					
569 Rae St	house	3	1.0	0.0	185.0	127.0	1890.0
74 Barkly St	house	4	2.0	2.0	233.0	216.0	1890.0
79 Delbridge St	house	4	2.0	1.0	445.0	175.0	1890.0
70 Park St	house	4	2.0	1.0	188.0	165.0	1900.0
22 Coleman St	house	2	1.0	0.0	116.0	73.0	1890.0
10 Delbridge St	house	2	1.0	0.0	143.0		
200 Miller St	house	3	2.0	2.0	285.0		
16 Rushall Cr	house	3					
2 Scotchmer St	house	2	1.0	1.0	223.0	118.0	1885.0
111 Best St	house	3	2.0	1.0	104.0	110.0	1890.0
102 Falconer St	house	3	1.0	1.0	254.0	117.0	1890.0
282 Glenlyon Rd	house	3	1.0	1.0	378.0		
26 Grant St	house	3	2.0	1.0	351.0	152.0	1890.0
24 Batman St	house	2	1.0	0.0	148.0		
83 Best St	house	3	2.0	1.0	240.0		
35 Birkenhead St	house	2	1.0	0.0	136.0	92.0	1890.0
8/3 Miller St	townhouse	2	2.0	2.0	0.0	95.0	2002.0
9/222 Queens Pde	flat	3	1.0	1.0	0.0		
23/86 Queens Pde	flat	2	1.0	2.0	0.0	92.0	2010.0
44 Reid St	townhouse	4	3.0	2.0	127.0	209.0	2008.0
1/81 Alfred Cr	flat	1					
30 Eastham St	house	2	1.0	0.0	106.0		
3 Curtain Pl	townhouse	3	2.0	1.0	77.0	133.0	2016.0
14 Falconer St	house	3	1.0	1.0	225.0		
34 Fergie St	house	3	1.0	3.0	382.0	103.0	1900.0
273 Glenlyon Rd	house	2	1.0	2.0	487.0	105.0	1940.0
8/54 Kneen St	flat	1	1.0	1.0	0.0		1970.0
13 Seacombe St	house	2	1.0	0.0	0.0		
21 Reid St	house	1	1.0	0.0	153.0		
179 Barkly St	house	3	1.0	2.0	475.0		
181 Rae St	house	2	1.0	0.0	100.0	72.0	1890.0
86 Clauscen St	house	3	2.0	0.0	357.0		1880.0
44 McKean St	house	3	3.0	2.0	157.0	3.0	1998.0
264 Barkly St	house	3	1.0	0.0	370.0		
191 Scotchmer St	house	3	1.0	1.0	203.0	110.0	1890.0
49 Best St	house	4	2.0	1.0	197.0		
123/4 Bik La	flat	2	1.0	1.0	4296.0		2012.0
717 Brunswick St	house	3	2.0	0.0	127.0	135.0	1890.0
14 King St	house	3	1.0	0.0	309.0		
205 Scotchmer St	house	3	2.0	0.0	202.0	307.0	1898.0
8/86 Queens Pde	townhouse	3	2.0	2.0	0.0		
32 Rae St	house	3					
168 Scotchmer St	house	3	1.0	0.0	193.0	132.0	1910.0
12/262 Barkly St	flat	2	1.0	1.0	0.0	48.0	1980.0
5/118 Miller St	house	2	1.0	1.0	0.0	75.0	1980.0
416 Queens Pde	house	5	2.0	11.0	1010.0	440.0	
421 Rae St	house	2	1.0	2.0	204.0		
55 Seacombe St	house	3	2.0	1.0	118.0	103.0	1905.0
29 Tait St	house	2	1.0	0.0	160.0		
42 Barkly St	house	4	2.0	1.0	0.0	4.0	
83 Rowe St	house	4	1.0	2.0	364.0		
96 Bryant St	house	2	1.0	1.0	168.0		
34 Illawarra Rd	house	3	1.0	2.0	255.0	117.0	1930.0
3/39 Dover St	flat	2	1.0	1.0	0.0	60.0	1970.0
25/2 Newmarket Wy	townhouse	2					
15/17 Ascot Vale Rd	flat	1	1.0	1.0	2077.0		
8/39 Dover St	flat	2	1.0	1.0	0.0	63.0	1970.0
1/142 Shields St	flat	1	1.0	1.0	0.0		1970.0
37 Bryant St	house	2	1.0	0.0	168.0	78.0	1920.0
11/2 Newmarket Wy	flat	2					
10 Crown St	house	3	2.0	0.0	167.0		
1/15 Dartford St	flat	2	1.0	1.0	0.0	59.0	1970.0
1/116 Edinburgh St	house	2	1.0	1.0	0.0		1980.0
11 Finsbury St	house	3	1.0	0.0	294.0	140.0	1900.0
43 Finsbury St	house	3	1.0	1.0	272.0	131.0	1885.0
40 Coronet St	house	2	1.0	1.0	193.0		
107 Shields St	house	2	1.0	0.0	136.0	78.0	1900.0
59 Victoria St	house	2	1.0	1.0	140.0	98.0	1890.0
6/47 Railway Pl W	flat	2	1.0	1.0	0.0		
21 Wisewould St	house	2	1.0	0.0	225.0	85.0	1930.0
4/64 Dover St	flat	2	1.0	1.0	0.0	60.0	1970.0
1/146 Ascot Vale Rd	townhouse	2					
4 Illawarra Rd	house	2	1.0	0.0	202.0		
43 Illawarra Rd	townhouse	2	1.0	1.0	142.0	94.0	1990.0
58/2 Newmarket Wy	flat	1					
61 Canterbury St	house	3	1.0	1.0	212.0	102.0	1930.0
15 Clarence St	house	3	1.0	0.0	162.0		
90 Edinburgh St	house	3	1.0	1.0	313.0	20.0	
111 Wellington St	house	4	1.0	1.0	616.0		
1/4 Chatham St	house	3	2.0	2.0	0.0		
3/121 Wellington St	flat	2	1.0	1.0	0.0		
7/30 Bryant St	house	1	1.0	1.0	0.0		
250 Pinoak Cr	house	3					
12/132 Princes St	flat	2	2.0	1.0	0.0	79.0	2009.0
5/60 Farnham St	flat	1	1.0	1.0	0.0	46.0	1970.0
29 Finsbury St	house	3	2.0	0.0	179.0	150.0	1900.0
114 Shields St	house	2	1.0	0.0	165.0		
20 Glance St	house	3	1.0	4.0	402.0		1915.0
65 Victoria St	house	3	2.0	0.0	162.0		1905.0
8/300 Racecourse Rd	flat	1	1.0	1.0	818.0	50.0	1880.0
130/200 Smithfield Rd	flat	2					
5/69 Edinburgh St	flat	2	1.0	1.0	0.0		1970.0
4 Farnham St	house	3	1.0	1.0	244.0	84.0	1940.0
5/121 Wellington St	flat	2	1.0	1.0	0.0	52.0	1970.0
2 Dalgleish St	house	3	1.0	1.0	172.0	109.0	1900.0
1/92 Farnham St	house	3	1.0	1.0	0.0		
4/33 Ballarat Rd	townhouse	3	1.0	1.0	259.0		
202/51 Gordon St	flat	1	1.0	0.0	0.0		2007.0
4 Adelaide St	house	4	2.0	1.0	319.0	130.0	1915.0
11/44 Everard St	flat	2	1.0	1.0	0.0		
9 Lynch St	house	3	1.0	1.0	292.0	98.0	1900.0
25 Southampton St	house	3	1.0	0.0	164.0	93.0	1900.0
37 Stirling St	house	3	2.0	0.0	497.0	156.0	1890.0
58 Wolverhampton St	house	4	2.0	1.0	154.0	161.0	2007.0
2/3 Eldridge St	flat	1	1.0	1.0	0.0	50.0	1970.0
8 Buckingham St	house	3	2.0	2.0	204.0	106.0	1990.0
1/3 Eldridge St	flat	1	1.0	1.0	0.0	52.0	1970.0
1/15 Geelong Rd	townhouse	4	2.0	2.0	250.0	160.0	2000.0
9/55 Moreland St	flat	2	1.0	3.0	2794.0	87.0	2000.0
1/30 Pickett St	flat	2	1.0	1.0	47.0	35.0	2013.0
307/240 Barkly St	flat	2	1.0	1.0	0.0		2011.0
5/28 Eleanor St	townhouse	2	1.0	1.0	556.0	75.0	2010.0
1/38 Lynch St	flat	1	1.0	0.0	0.0		1980.0
6/114 Commercial Rd	flat	1	1.0	1.0	665.0	46.0	1970.0
3/8 Eleanor St	house	2	1.0	1.0	0.0		1968.0
2 Jerrold St	house	2					
8 Jerrold St	house	2	1.0	0.0	215.0	98.0	1910.0
101 MacPherson St	house	2	1.0	2.0	200.0	79.0	1900.0
32 Commercial Rd	house	3	1.0	3.0	585.0	120.0	1950.0
11 Commercial Rd	house	3	1.0	3.0	413.0		
105/64 Cross St	flat	2	1.0	1.0	0.0		
1/13 Essex St	house	3	1.0	1.0	0.0	141.0	2010.0
13 Lynch St	house	4	1.0	2.0	411.0		
6/11 Nicholson St	flat	3	1.0	1.0	0.0	90.0	1985.0
3 Park St	house	4	1.0	2.0	277.0	87.0	1890.0
14/258 Ballarat Rd	flat	2	1.0	1.0	0.0	65.0	1970.0
7/46 Commercial Rd	house	2	1.0	1.0	0.0	72.0	2003.0
39 Dudley St	house	2	1.0	0.0	210.0		1900.0
8/19 Empire St	flat	2	1.0	1.0	0.0	65.0	1980.0
1 Stanlake St	house	4	2.0	3.0	0.0	190.0	1950.0
2/10 Swan St	townhouse	3	2.0	2.0	164.0	3.0	2008.0
84 Victoria St	house	3	2.0	1.0	197.0		
211A Ballarat Rd	house	2	1.0	2.0	657.0	92.0	1940.0
13/2 Saltriver Pl	flat	3	2.0	1.0	8680.0		
11 Dawson Av	house	3					
120 MacPherson St	house	3	1.0	1.0	265.0	115.0	1910.0
3/53 Whitehall St	flat	2	1.0	1.0	0.0	75.0	2010.0
2/58 Everard St	townhouse	2	1.0	1.0	111.0		
2/15 Geelong Rd	house	2	1.0	1.0	162.0		2000.0
6 John St	house	4	1.0	2.0	633.0		
36 Windsor St	house	3	1.0	1.0	451.0	130.0	1910.0
95 Gordon St	house	3	1.0	2.0	323.0	129.0	1900.0
4/5 Empire St	flat	2	1.0	1.0	0.0	69.0	1960.0
3/23 Pickett St	flat	2	1.0	1.0	0.0	66.0	2012.0
9/6 Rosamond Rd	townhouse	2	2.0	1.0	65.0	80.0	2014.0
53 Ryan St	house	2	1.0	1.0	184.0	103.0	1900.0
105/72 Cross St	flat	1	1.0	1.0	0.0	50.0	1920.0
6/63 Everard St	flat	2	1.0	3.0	207.0		1960.0
2 Buckingham St	house	3	1.0	1.0	246.0	120.0	1940.0
4/97 Cowper St	flat	1	1.0	1.0	0.0		1970.0
45 Droop St	house	3	2.0	2.0	384.0		
88 Eleanor St	house	3	1.0	1.0	242.0	99.0	1920.0
2 Greenham Pl	townhouse	2	0.0	0.0	0.0		
13/41 Moreland St	flat	2	2.0	1.0	0.0	78.0	2013.0
52 Dudley St	house	4	2.0	1.0	266.0	111.0	1930.0
2/36 Empire St	flat	2	1.0	1.0	0.0		
11 Geelong Rd	house	3	1.0	2.0	522.0	109.0	1920.0
8/33 Gordon St	flat	1	1.0	1.0	59.0	70.0	1965.0
31 Southampton St	house	3	2.0	2.0	322.0	228.0	1980.0
5/11 Eldridge St	flat	2	1.0	1.0	0.0	67.0	1970.0
2 French St	townhouse	3	2.0	1.0	122.0		
12/3 Gordon St	flat	1	1.0	1.0	0.0		
42b Swan St	townhouse	2					
88 Victoria St	house	3	1.0	0.0	262.0	92.0	
1207/240 Barkly St	flat	1	1.0	1.0	4727.0		2011.0
405/250 Barkly St	flat	2	1.0	1.0	0.0	75.0	2007.0
167 Gordon St	house	2	1.0	2.0	253.0	90.0	1910.0
4/2 Saltriver Pl	flat	3	2.0	1.0	0.0		
224 Ballarat Rd	house	2	1.0	1.0	212.0	98.0	1900.0
7 Essex St	house	2	1.0	1.0	320.0	94.0	1900.0
13 Nicholson St	flat	2					
306/277 Barkly St	flat	2					
6/27 Eldridge St	flat	2	1.0	1.0	0.0	60.0	1970.0
51 Lynch St	house	2	1.0	1.0	313.0	93.0	1915.0
216a Ballarat Rd	townhouse	4	2.0	2.0	0.0	126.0	2015.0
35 Leander St	house	2	1.0	1.0	222.0	109.0	1920.0
49 MacPherson St	house	2	1.0	1.0	132.0	83.0	1970.0
69 MacPherson St	house	2	1.0	0.0	258.0	108.0	1900.0
39 Moore St	house	3	1.0	2.0	272.0	106.0	1920.0
208 Gordon St	house	3	1.0	3.0	285.0	112.0	1930.0
506/55 Hopkins St	flat	2	2.0	1.0	0.0	80.0	2009.0
2/10 Leigh St	flat	2					
4/11 Nicholson St	flat	1	1.0	1.0	1783.0	42.0	1975.0
2/25 Stanlake St	townhouse	3	1.0	1.0	125.0	113.0	2000.0
26 Titch St	townhouse	3	2.0	1.0	128.0		1999.0
24 Dudley St	house	3	1.0	0.0	190.0	99.0	1930.0
12/14 Eldridge St	flat	2	1.0	1.0	882.0	74.0	1970.0
5 Hartman Wk	townhouse	2					
65 Hyde St	house	3	1.0	1.0	211.0	94.0	1910.0
4 Johnson St	house	3	1.0	4.0	378.0	120.0	1980.0
96 MacPherson St	townhouse	3					
3/22 Pickett St	flat	2	1.0	1.0	0.0		
707/250 Barkly St	flat	2	1.0	1.0	0.0		
4/155 Gordon St	house	3	1.0	1.0	0.0	79.0	2013.0
62 Moore St	house	3	2.0	2.0	196.0	154.0	2006.0
26/2 Ballarat Rd	flat	3	1.0	1.0	0.0		
10/24 Eldridge St	flat	2	1.0	1.0	0.0	55.0	1960.0
23 Moore St	house	2	1.0	2.0	260.0		1940.0
20 Ryan St	house	2	1.0	0.0	130.0	70.0	1920.0
39 Warleigh Rd	townhouse	3	2.0	2.0	112.0	168.0	2010.0
6 White St	house	2	1.0	0.0	238.0		
483 Barkly St	townhouse	3	2.0	2.0	98.0	169.0	2015.0
1/24 Eldridge St	flat	2	1.0	1.0	0.0		
11/30 Pickett St	flat	1	1.0	0.0	0.0		2013.0
6/30 Pickett St	flat	2	1.0	1.0	0.0	51.0	2014.0
4 The Crescent	house	3	1.0	0.0	268.0		
8 Dudley St	house	3	2.0	0.0	458.0	98.0	1930.0
32 Hewitt Av	townhouse	3					
116/55 Hopkins St	flat	2	2.0	1.0	0.0	79.0	2009.0
12 Tait St	house	4	2.0	1.0	369.0	151.0	1910.0
3/10 Leigh St	townhouse	2					
6/9 Mary St	townhouse	2	1.0	1.0	132.0	122.0	2000.0
20 McDougall Dr	townhouse	3	2.0	2.0	102.0	102.0	2011.0
20 Nicholson St	house	4	1.0	1.0	799.0	160.0	1910.0
119 Droop St	house	2	1.0	1.0	355.0	74.0	1890.0
1a Leander St	house	2	1.0	2.0	274.0	275.0	2000.0
6 Beatrice St	house	3	2.0	3.0	680.0	170.0	1935.0
4/28 Belmont Av N	flat	2					
57 Brandon St	house	2	1.0	2.0	653.0		
30 Howie St	townhouse	3	3.0	2.0	605.0	259.0	1920.0
2 Vincent St	house	5	3.0	2.0	919.0	353.0	1925.0
28 Alfred Rd	house	4	2.0	2.0	868.0	217.0	1930.0
1/3 Belmont Av	house	3					
4/35 Carroll Cr	flat	1					
28 Malvern Av	house	3					
8A Queens Pde	townhouse	3					
26 Rosedale Rd	house	4	2.0	2.0	375.0	249.0	2013.0
62 Staughton Rd	house	4	2.0	1.0	739.0	183.0	2002.0
4/58 Bath Rd	flat	2	1.0	1.0	0.0	85.0	1960.0
52 Denman Av	house	4					
3/7 Erica Av	townhouse	3					
10 Grandview Av	house	5					
8 Kenilworth Gr	house	4	2.0	4.0	1318.0		
43 Pascoe St	house	3	1.0	2.0	627.0		
2/11 Peace St	house	3	2.0	2.0	217.0	163.0	2006.0
12/39 Scott Gr	flat	1	1.0	0.0	72.0		
4 Aitchison Av	flat	2					
48 Alfred Rd	house	3	1.0	1.0	753.0	118.0	1940.0
3 Bridges St	house	4	4.0	2.0	708.0	323.0	1985.0
16/219 Burke Rd	flat	1	1.0	1.0	0.0		1960.0
16/69 Carroll Cr	flat	2					
3 Charles St	house	3	1.0	2.0	656.0	106.0	1925.0
45 Charles St	house	2	1.0	2.0	660.0		
6 Chester St	house	3	2.0	1.0	704.0	134.0	1940.0
149 Finch St	house	4	2.0	2.0	674.0	156.0	1970.0
56 Gardiner Pde	house	5	3.0	4.0	619.0	327.0	2003.0
7 Hope St	house	3	2.0	2.0	541.0		
3 Nerissa St	house	3	1.0	1.0	745.0		
22 Renwick St	house	4	3.0	2.0	638.0	314.0	1930.0
1/76 Summerhill Rd	townhouse	3	3.0	2.0	0.0	202.0	2006.0
123 Tooronga Rd	house	3	2.0	2.0	537.0	157.0	1930.0
10 Hazeldine Rd	house	4	2.0	3.0	630.0	314.0	2000.0
20/1553 High St	flat	1					
1 Montana St	house	4	3.0	4.0	1258.0	254.0	1941.0
1/23 Aintree Rd	flat	2	1.0	1.0	0.0	63.0	1968.0
7 Flowerdale Rd	house	3	2.0	2.0	904.0		
12 Grandview Av	house	3					
16 Kardinia Rd	house	3	1.0	1.0	724.0	137.0	1930.0
48 Martin Rd	house	3	2.0	2.0	745.0	157.0	1920.0
73 Pascoe St	house	3	2.0	2.0	625.0	188.0	1951.0
14 Peace St	house	5	3.0	3.0	1053.0		
66 Rowen St	house	4	2.0	2.0	624.0	465.0	2011.0
16 Vincent St	house	4	2.0	2.0	859.0		
12 Walerna Rd	house	3	2.0	2.0	652.0		
1/13 Belmont Av	flat	2					
1/9 Myrniong St	house	3	2.0	1.0	233.0		
192 Tooronga Rd	house	4	2.0	3.0	553.0	143.0	1910.0
34 Yeovil Rd	house	4	3.0	2.0	1184.0	305.0	1935.0
1/51 Alfred Rd	townhouse	4					
10 Atkins Av	house	3					
7/69 Edgar St N	flat	2	1.0	1.0	0.0	65.0	1970.0
1/46 Iris Rd	house	3	1.0	1.0	215.0		
19 Mills St	house	4	2.0	2.0	591.0		
39 Welfare Pde	house	4	2.0	2.0	662.0		
1 Aintree Rd	house	4	3.0	4.0	349.0		
423 Burke Rd	house	3	1.0	2.0	297.0		1930.0
2 Celia St	house	6	3.0	2.0	650.0		1940.0
2/25 Cloverdale Rd	flat	3	2.0	2.0	281.0		
17 Cole Av	house	4					
51 Dent St	house	4	2.0	2.0	630.0	351.0	2009.0
57 Edgar St	house	4	1.0	1.0	945.0	192.0	1970.0
25 Hope St	house	2	0.0	0.0	207.0		
33 Mills St	house	3	1.0	1.0	590.0	141.0	1930.0
12 Morell St	house	3	2.0	2.0	739.0		
8/25 Osborne Av	flat	2					
27 Pascoe St	house	3	2.0	2.0	370.0		
54 Albion Rd	house	4	1.0	2.0	696.0	197.0	1940.0
33 Barina Rd	house	3	2.0	2.0	705.0		1938.0
17 Bonnyview St	house	3	1.0	1.0	788.0	150.0	1950.0
4 Denman Av	house	4					
1/4 Estella St	house	4					
26 Gardiner Pde	house	4	3.0	4.0	0.0	30.0	1930.0
22 Montana St	house	2	1.0	3.0	650.0		
10/13 Myrniong St	flat	2	1.0	1.0	0.0		
15 Pascoe St	house	3	2.0	2.0	669.0		
4/17 Peate Av	townhouse	4					
1/39 Scott Gr	flat	1	1.0	1.0	63.0	52.0	1980.0
1/33 Yeovil Rd	townhouse	3	2.0	2.0	365.0		
3/4 Edgar St	flat	3	1.0	2.0	0.0		1987.0
4 Howard St	house	4	3.0	3.0	856.0		
1/292 Warrigal Rd	flat	2	1.0	1.0	509.0	99.0	1970.0
22 Aintree Rd	house	4	3.0	2.0	743.0		
56 Brandon St	house	3	1.0	3.0	650.0	136.0	1930.0
13/249 Burke Rd	flat	2	2.0	1.0	0.0		1970.0
1/6 Edgar St	flat	1	1.0	1.0	1097.0	38.0	1982.0
1/146 Glen Iris Rd	flat	2	1.0	2.0	123.0		
7 Golden Qd	house	4					
6/3 Hope St	flat	2	1.0	1.0	829.0	83.0	1970.0
20 Howitt St	house	4	2.0	2.0	652.0	230.0	1925.0
2 Kialla Av	house	5					
2C Osborne Av	house	3					
1/43 Osborne Av	flat	3					
6 Rix St	house	2	1.0	2.0	400.0	98.0	1930.0
115 Tooronga Rd	house	2	1.0	0.0	251.0		1910.0
